Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
GOOGL,FBCG,Fidelity Blue Chip Growth ETF,Large Cap Growth Equities,0.59,6.83
APH,PXQ,Invesco Dynamic Networking ETF,Technology Equities,0.63,5.01
APH,DEMZ,Democratic Large Cap Core ETF,Large Cap Blend Equities,0.45,4.33
APH,ROKT,SPDR S&P Kensho Final Frontiers ETF,Industrials Equities,0.45,3.15
APH,DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,Volatility Hedged Equity,0.6,2.7
APH,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,Large Cap Growth Equities,0.96,2.54
APH,PDP,Invesco DWA Momentum ETF,Large Cap Growth Equities,0.62,1.79
APH,FLLV,Franklin Liberty U.S. Low Volatility ETF,Volatility Hedged Equity,0.29,1.54
APH,JHMT,John Hancock Multifactor Technology ETF,Technology Equities,0.4,1.52
APH,VOT,Vanguard Mid-Cap Growth ETF,Mid Cap Growth Equities,0.07,1.21
APH,VFLQ,Vanguard U.S. Liquidity Factor ETF,All Cap Equities,0.13,1.09
AZO,FTXD,First Trust Nasdaq Retail ETF,Consumer Discretionary Equities,0.6,5.37
AZO,VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,Volatility Hedged Equity,0.35,3.23
AZO,RTH,VanEck Retail ETF,Consumer Discretionary Equities,0.35,3.0
AZO,COWZ,Pacer US Cash Cows 100 ETF,All Cap Equities,0.49,2.17
AZO,RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF,Consumer Discretionary Equities,0.4,1.83
AZO,FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,Mid Cap Blend Equities,0.3,1.24
AZO,DEF,Invesco Defensive Equity ETF,Large Cap Growth Equities,0.53,1.21
AZO,CLRG,IQ Chaikin U.S. Large Cap ETF,Large Cap Growth Equities,0.25,1.17
AZO,TUSA,First Trust Total US Market AlphaDEX ETF,All Cap Equities,0.7,0.43
BA,ITA,iShares U.S. Aerospace & Defense ETF,Industrials Equities,0.42,18.54
BA,PPA,Invesco Aerospace & Defense ETF,Industrials Equities,0.61,6.04
BA,XAR,SPDR S&P Aerospace & Defense ETF,Industrials Equities,0.35,4.21
BA,DIA,SPDR Dow Jones Industrial Average ETF Trust,Large Cap Growth Equities,0.16,3.99
BA,XLI,Industrial Select Sector SPDR Fund,Industrials Equities,0.12,3.75
BA,ROKT,SPDR S&P Kensho Final Frontiers ETF,Industrials Equities,0.45,3.61
BA,EDOW,First Trust Dow 30 Equal Weight ETF,Large Cap Blend Equities,0.5,3.35
BA,VIS,Vanguard Industrials ETF,Industrials Equities,0.1,2.88
BA,FIDU,Fidelity MSCI Industrial Index ETF,Industrials Equities,0.08,2.85
BA,IYJ,iShares U.S. Industrials ETF,Industrials Equities,0.42,2.02
KMX,AIEQ,AI Powered Equity ETF,Large Cap Growth Equities,0.8,1.28
CHTR,PKW,Invesco BuyBack Achievers™ ETF,Large Cap Blend Equities,0.64,4.51
CHTR,IEME,iShares Evolved U.S. Media and Entertainment ETF,All Cap Equities,0.18,4.39
CHTR,XLC,Communication Services Select Sector SPDR Fund,Large Cap Growth Equities,0.12,4.22
