Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
AMGN,2018.0,23747000.0,4101000.0,19646000.0,9383000.0,10263000.0,-718000.0,,9545000.0,1151000.0
AMGN,2017.0,22849000.0,4069000.0,18780000.0,8807000.0,9973000.0,-376000.0,,9597000.0,7618000.0
ADI,2021.0,6505013.0,2078737.0,4426276.0,2371546.0,2054730.0,-177471.0,24932.0,1902191.0,200930.0
ADI,2020.0,5603056.0,1912578.0,3690478.0,2139897.0,1550581.0,-189000.0,-49964.0,1311617.0,90856.0
ADI,2019.0,5991065.0,1977315.0,4013750.0,2207483.0,1806267.0,-218846.0,-101693.0,1485728.0,122717.0
ADI,2018.0,6200942.0,1967640.0,4233302.0,2290249.0,1943053.0,-244206.0,-60330.0,1638517.0,143085.0
ANTM,2021.0,133882000.0,,,,,,,7136000.0,1615000.0
ANTM,2020.0,121867000.0,,,,,,,6238000.0,1666000.0
ANTM,2019.0,104213000.0,,,,,,,5985000.0,1178000.0
ANTM,2018.0,92105000.0,,,,,,,5068000.0,1318000.0
ANTM,2017.0,90039400.0,,,,,,,3963800.0,121000.0
APA,2021.0,6905000.0,4135000.0,2770000.0,608000.0,2162000.0,-425000.0,-430000.0,1307000.0,424000.0
APA,2020.0,4435000.0,3530000.0,905000.0,732000.0,173000.0,-427000.0,-4586000.0,-4840000.0,64000.0
APA,2019.0,6315000.0,4433000.0,1882000.0,1472000.0,410000.0,-387000.0,-3031000.0,-3008000.0,674000.0
APA,2018.0,7348000.0,4192000.0,3156000.0,1187000.0,1969000.0,-384000.0,-627000.0,958000.0,672000.0
APA,2017.0,5887000.0,3859000.0,2028000.0,1181000.0,847000.0,-396000.0,467000.0,918000.0,-585000.0
AMAT,2021.0,21628000.0,11529000.0,10099000.0,3629000.0,6470000.0,-150000.0,,6008000.0,701000.0
AMAT,2020.0,17202000.0,9510000.0,7692000.0,3327000.0,4365000.0,-199000.0,,4166000.0,547000.0
AMAT,2019.0,14608000.0,8222000.0,6386000.0,3036000.0,3350000.0,-81000.0,,3269000.0,563000.0
AMAT,2018.0,17253000.0,9436000.0,7817000.0,3021000.0,4796000.0,-102000.0,,4694000.0,1381000.0
ANET,2021.0,2772060.0,999411.0,1772649.0,919060.0,853589.0,8043.0,2139.0,863771.0,79254.0
ANET,2020.0,2317512.0,835626.0,1481886.0,782202.0,699684.0,27139.0,12040.0,738863.0,104306.0
ANET,2019.0,2410706.0,866368.0,1544338.0,738564.0,805774.0,51144.0,5352.0,862270.0,2403.0
ANET,2018.0,2151369.0,777992.0,1373377.0,695030.0,678347.0,28965.0,-418511.0,288801.0,-39314.0
ANET,2017.0,1646186.0,584417.0,1061769.0,591497.0,470272.0,-2780.0,7268.0,474760.0,51559.0
AIZ,2021.0,10506500.0,,,,,,,714600.0,186400.0
AIZ,2020.0,10084100.0,,,,,,,515300.0,72600.0
AIZ,2019.0,10072500.0,,,,,,,554500.0,167700.0
AIZ,2018.0,8000700.0,,,,,,,333500.0,80900.0
AIZ,2017.0,6311100.0,,,,,,,444500.0,-75100.0
ATO,2021.0,3314020.0,1626530.0,1687490.0,772611.0,914879.0,-81630.0,9899.0,843148.0,160972.0
ATO,2020.0,2821137.0,1288455.0,1532682.0,708583.0,824099.0,-81542.0,4239.0,746796.0,145353.0
ATO,2019.0,2901848.0,858837.0,2043011.0,1296953.0,746058.0,-98993.0,3244.0,650309.0,138903.0
ATO,2018.0,3115546.0,1167848.0,1947698.0,1224564.0,723134.0,-106646.0,-5344.0,611144.0,8080.0
ADP,2021.0,15367000.0,8828600.0,6538400.0,3078700.0,3459700.0,-30700.0,67800.0,3496800.0,799900.0
ADP,2021.0,15005400.0,8640300.0,6365100.0,3040500.0,3324600.0,-23200.0,59800.0,3361200.0,762700.0
ADP,2020.0,14589800.0,8445100.0,6144700.0,3003000.0,3141700.0,-107100.0,148000.0,3182600.0,716100.0
ADP,2019.0,14175200.0,8086600.0,6088600.0,3064200.0,3024400.0,-32300.0,13500.0,3005600.0,712800.0
ADP,2018.0,13325800.0,7842600.0,5483200.0,2971500.0,2511700.0,-19200.0,-321400.0,2171100.0,550300.0
AVB,2021.0,2249455.0,856033.0,1393422.0,805978.0,587444.0,-216293.0,638277.0,1009428.0,-744.0
AVB,2020.0,2301261.0,823102.0,1478159.0,767674.0,710485.0,-214151.0,328125.0,824459.0,-3247.0
AVB,2019.0,2324626.0,768106.0,1556520.0,719620.0,836900.0,-203585.0,165791.0,799106.0,13003.0
